Datetime,actual,predicted,underperf_pct,underperf_flag,environmental_factors,observational_factors,recommended_actions_combined
2002-04-15 01:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Observed underperformance,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2000-09-19 01:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Anomalous sensor reading / outlier; Observed underperformance,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2000-11-05 12:00:00,0.0715951269364349,0.06648176892011129,-0.07691368775804,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2001-11-12 15:00:00,0.0521646065202711,0.05411791451932065,0.0360935563832971,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2000-08-30 08:00:00,0.028168927555386,0.029235726939082066,0.03648957954488132,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2002-08-01 18:00:00,1.3512303896880054e-17,1.8118746282282763e-18,-6.457637347730249,False,Low irradiance / cloudy,None detected,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2002-05-28 19:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Observed underperformance,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2001-05-24 02:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Observed underperformance,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2000-07-04 21:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Observed underperformance,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2001-02-06 20:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Observed underperformance,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2001-06-11 02:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Observed underperformance,No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.
2002-04-27 14:00:00,0.2228350944015247,0.22283509440152544,3.238470887830726e-15,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2001-03-23 05:00:00,0.0,1.8118746282282763e-18,1.0,True,Low irradiance / cloudy,Anomalous sensor reading / outlier; Observed underperformance,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2000-01-14 11:00:00,0.2228350944015247,0.22258720254150705,-0.0011136842423429196,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2002-11-13 07:00:00,0.0197573072217202,0.02012686849937827,0.01836158852379281,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
2001-08-15 15:00:00,0.0541632774350777,0.06041451265930755,0.10347241000655123,False,Low irradiance / cloudy,Anomalous sensor reading / outlier,"No immediate site action; consider forecasting or re-scheduling maintenance during low-irradiance periods.; Validate sensor health, replace or recalibrate sensors as needed."
